zone_name,lag_1d,lag_7d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,active_campaigns_in_zone,days_since_last,total_planned_daily_demand,paid_ratio,day_of_week,is_weekend,month,cat_fb,cat_home,cat_movies,cat_music,cat_other,cat_tv,cat_welcome,predicted_imp_per_flight,daily_capacity
b_fb_breakfast1,0.0027548209366391185,0.006858710562414266,0.007865640774720834,0.3127175032809981,0.011405676339723492,9,10,159836.23119010954,0.6666666666666666,2,0,5,1,0,0,0,0,0,0,0.46561825,338.83707
b_fb_landing,8.0,7.0,4.0,11.693813868110453,2.581988897471611,2,-198,0.0,0.0,2,0,5,1,0,0,0,0,0,0,7.12237,5183.0503
b_fb_non-alcoholic1,1.0,7.645690834473324,3.898049092575905,6.077259717699003,2.8837911438154125,9,-196,159836.23119010954,0.6666666666666666,2,0,5,1,0,0,0,0,0,0,1.9819334,1442.2812
b_fb_non-alcoholic2,2.5014749262536875,5.72911051212938,5.963884128722407,6.37241046606736,1.6428097523218692,12,8,300841.32910610246,0.6666666666666666,2,0,5,1,0,0,0,0,0,0,11.200994,8151.123
b_fb_snacks1,3.0,2.3541944074567245,2.393025495905861,2.4081012991840733,0.5940294787330284,9,-196,159836.23119010954,0.6666666666666666,2,0,5,1,0,0,0,0,0,0,3.0302892,2205.1848
b_fb_snacks2,0.0029940119760479044,0.0015337423312883436,0.004775200547383353,0.007810248375302993,0.004515737679280053,12,169,300841.32910610246,0.6666666666666666,2,0,5,1,0,0,0,0,0,0,0.0,0.0
b_featured_a241,0.038348082595870206,0.08490566037735849,0.08825345958754317,0.06490536222370302,0.026716629926512497,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_a242,0.03392330383480826,0.07277628032345014,0.08120276517525381,0.05864585602941457,0.026326024622122003,18,8,572520.7179949913,0.7777777777777778,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
b_featured_a24_movies1,0.01327433628318584,0.07547169811320754,0.038807536181089154,0.053403125025273224,0.02066526333331622,19,8,328275.7483288616,0.8421052631578947,2,0,5,0,0,1,0,0,0,0,0.46561825,338.83707
b_featured_a24_movies2,0.01032448377581121,0.03504043126684636,0.024806541006440887,0.021210706973689934,0.009411244818403011,18,8,572520.7179949913,0.7777777777777778,2,0,5,0,0,1,0,0,0,0,0.46561825,338.83707
