campaign_id,campaign_name,revenue_type,goal_type,planned_daily_impressions,pacing_gap,time_urgency,zone_fit,contract_weight,goal_modifier,priority_score,queue_position
7224,Miles & Smiles Yeni Üyelik - I - Screensaver - October 2025 - Tur & Eng,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,189
7223,Kız Kulesi - İstanbul - I - Screensaver - October 2025,house,awareness,0.0,0.0,6.68,20.0,6.67,16.67,50.01,190
4278,1780835_UA_ALWAYS ON_MileagePlus_MemberWIFI_Awareness_23-24,house,consideration,0.0,0.0,3.13,20.0,6.67,20.0,49.8,191
7694,January 2026 Interactive Update Banner Campaign Holafly,house,awareness,0.0,0.0,6.29,20.0,6.67,16.67,49.62,192
7942,Blue Lagoon Skin Science Moving Map 2026,house,awareness,0.0,0.0,6.28,20.0,6.67,16.67,49.61,193
2987,Air Canada MMB Aug22 banner campaign CD,house,consideration,0.0,0.0,2.94,20.0,6.67,20.0,49.6,194
2335,connect to wifi click-thru Star Gallery - B - March 2022,house,consideration,0.0,0.0,2.61,20.0,6.67,20.0,49.28,195
7959,March 2026 WiFi PanaSky Portal Banners,house,awareness,0.0,0.0,5.69,20.0,6.67,16.67,49.03,196
7820,January 2026 Testing_All Zones,house,awareness,0.0,0.0,5.61,20.0,6.67,16.67,48.94,197
7650,BoardingSlate_04_Slide3_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,198
7857,BoardingSlate_11_Slide10_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,199
7655,BoardingSlate_09_Slide8_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,200
7654,BoardingSlate_08_Slide7_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,201
7653,BoardingSlate_07_Slide6_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,202
7652,BoardingSlate_06_Slide5_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,203
7651,BoardingSlate_05_Slide4_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,204
7649,BoardingSlate_03_Slide2_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,205
7648,BoardingSlate_02_Slide1_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,206
7856,BoardingSlate_10_Slide9_2026,house,awareness,0.0,0.0,5.48,20.0,6.67,16.67,48.82,207
7728,Flybus 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,208
7727,Blue Lagoon 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,209
7726,Perlan 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,210
7725,Bioeffect 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,211
7729,Hotel KEF 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,212
7730,LavaShow 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,213
7731,Saltverk 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,214
7732,Volcano Express 2026,house,awareness,0.0,0.0,5.45,20.0,6.67,16.67,48.78,215
6160,Miles&Smiles_Kredi Kartı - I - Screensaver - April 2025 - Turkish & English,house,awareness,0.0,0.0,5.1,20.0,6.67,16.67,48.43,216
7195,MP Member Re-Engagement - Evergreen,house,awareness,0.0,0.0,4.78,20.0,6.67,16.67,48.12,217
7020,MP Pause Ad_Evergreen_V2,house,awareness,0.0,0.0,4.6,20.0,6.67,16.67,47.94,218
7229,The Oldest Bread - I - Screensaver - October 2025 - Tur & Eng,house,awareness,0.0,0.0,4.58,20.0,6.67,16.67,47.91,219
6915,MP Member Enrollment_Rich Media - Evergreen,house,awareness,0.0,0.0,4.49,20.0,6.67,16.67,47.83,220
6917,Seat Upgrades_Rich Media - Evergreen,house,awareness,0.0,0.0,4.49,20.0,6.67,16.67,47.83,221
6916,Recent Searches_Rich Media - Evergreen,house,awareness,0.0,0.0,4.49,20.0,6.67,16.67,47.83,222
